genre_mode,genre,story_zone,method,mean_sentiment,ci_low,ci_high,n_films
multi_label,Music,Opening,Full dialogue,0.0028738827838827806,-0.24065220398351647,0.17406953273809495,10
multi_label,Music,Inciting conflict,Full dialogue,0.1648660238095238,-0.15291366071428572,0.4258298934523807,10
multi_label,Music,Escalation,Full dialogue,0.36411485925893616,0.183024606979936,0.5210172566267729,10
multi_label,Music,Climax zone,Full dialogue,0.1365815878962991,-0.16597277293513954,0.42780849311900027,10
multi_label,Music,Resolution,Full dialogue,0.34689156221303946,0.05381871926652893,0.5990736099919651,11
multi_label,Music,Opening,TF-IDF filtered,0.11267173534798533,-0.1525891572802198,0.2972413130723443,10
multi_label,Music,Inciting conflict,TF-IDF filtered,0.22196469859307358,-0.08560427608225106,0.44125449228896096,10
multi_label,Music,Escalation,TF-IDF filtered,0.43444687113835556,0.25846236669667516,0.6064015349996876,10
multi_label,Music,Climax zone,TF-IDF filtered,0.18132987445054943,-0.086645300103022,0.4247773903159339,10
multi_label,Music,Resolution,TF-IDF filtered,0.3652236317722682,0.0786472677915519,0.6294009582185491,11
multi_label,Mystery,Opening,Frequency baseline,0.20129669965888025,0.1070979086624252,0.28383261127342924,53
multi_label,Mystery,Inciting conflict,Frequency baseline,0.14902473730385313,0.06710272465836838,0.22921414099010257,54
multi_label,Mystery,Escalation,Frequency baseline,0.0803236169334293,0.014605598612690965,0.1401703556448046,55
multi_label,Mystery,Climax zone,Frequency baseline,0.00966392689070287,-0.07687453598648927,0.09006064028892913,54
multi_label,Mystery,Resolution,Frequency baseline,0.07895414811906419,-0.02502176020565375,0.18402717934387477,57
multi_label,Mystery,Opening,Full dialogue,0.10067898106308214,0.0003925115041413431,0.19888921519557137,53
multi_label,Mystery,Inciting conflict,Full dialogue,0.030866386496822613,-0.060656408444980985,0.11471470739833639,54
multi_label,Mystery,Escalation,Full dialogue,-0.062130735405902734,-0.14068711610886594,0.007645346221208439,55
multi_label,Mystery,Climax zone,Full dialogue,-0.07942358027873411,-0.16741063634555348,0.015336653200618226,54
multi_label,Mystery,Resolution,Full dialogue,-0.03442364286761223,-0.14309897373445177,0.0725620857058449,57
multi_label,Mystery,Opening,TF-IDF filtered,0.17432500366509435,0.08098039937759006,0.2629340391178444,53
multi_label,Mystery,Inciting conflict,TF-IDF filtered,0.12378496619233786,0.04171339115473258,0.20128746806560469,54
multi_label,Mystery,Escalation,TF-IDF filtered,0.04944469397568698,-0.015120805884709534,0.11003343026367983,55
multi_label,Mystery,Climax zone,TF-IDF filtered,-0.010611148916043693,-0.10140292224379258,0.0792043049103436,54
multi_label,Mystery,Resolution,TF-IDF filtered,0.03025924543442182,-0.07575715182439942,0.139160952958143,57
multi_label,Romance,Opening,Frequency baseline,0.3730084914308759,0.32823785640218744,0.4201377146100416,89
multi_label,Romance,Inciting conflict,Frequency baseline,0.4063939357606522,0.35485743966301797,0.4574592863162009,90
multi_label,Romance,Escalation,Frequency baseline,0.3836915956080652,0.33313566585285465,0.43508220160959193,91
