genre_mode_primary,genre,story_zone,method,mean_sentiment_primary,ci_low_primary,ci_high_primary,n_films_primary,genre_mode_multi,mean_sentiment_multi,ci_low_multi,ci_high_multi,n_films_multi,multi_minus_primary
primary,Fantasy,Inciting conflict,Full dialogue,-0.018175480959050302,-0.20727660552095836,0.16655624117980497,14,multi_label,0.016019604057429276,-0.10772677481328487,0.1308130460964501,43,0.03419508501647958
primary,Fantasy,Escalation,Full dialogue,0.06742944938146607,-0.10538517710242336,0.2457426441657562,14,multi_label,0.062064356685320496,-0.03202616465867369,0.1574020195088942,43,-0.005365092696145574
primary,Fantasy,Climax zone,Full dialogue,-0.00794990196598991,-0.18182377870957822,0.18306794609494018,14,multi_label,-0.001199004553060332,-0.10091878633018701,0.09447108195320225,43,0.006750897412929578
primary,Fantasy,Resolution,Full dialogue,0.09166349879287379,-0.1684098133116883,0.3514730909168956,16,multi_label,0.09432381440165477,-0.04091287208471511,0.2232580808955537,46,0.0026603156087809804
primary,History,Opening,Full dialogue,0.05338311965811964,-0.22105833333333333,0.3229076923076923,3,multi_label,0.16593299676580156,0.011193443817939195,0.30574875422214914,21,0.11254987710768191
primary,History,Inciting conflict,Full dialogue,0.15075223665223664,-0.30432857142857145,0.6148761904761905,3,multi_label,0.17142036930770435,0.012169471190852958,0.30495503776992383,22,0.020668132655467714
primary,History,Escalation,Full dialogue,0.14297645330221145,-0.10857333333333334,0.5697191489361703,3,multi_label,0.17096155403103389,0.053858459818577724,0.2889008300517654,22,0.027985100728822432
primary,History,Climax zone,Full dialogue,0.2679369326849733,0.11779374999999999,0.5283105263157895,3,multi_label,0.19212970306232766,0.09874775833035479,0.30645040232409093,22,-0.07580722962264566
primary,History,Resolution,Full dialogue,0.23095619047619045,0.03674000000000001,0.5039333333333333,3,multi_label,0.21901520037084377,0.08722135438902397,0.3585971998558019,24,-0.011940990105346688
primary,Horror,Opening,Full dialogue,-0.0180118181536469,-0.1521887476234421,0.11861858607034867,34,multi_label,0.001836987560848647,-0.09550808185065393,0.10207603567142907,56,0.019848805714495547
primary,Horror,Inciting conflict,Full dialogue,-0.07820819453780276,-0.2124694175851048,0.0476882028111973,36,multi_label,-0.05812991568537481,-0.15912347203606264,0.04417685663900835,58,0.020078278852427946
primary,Horror,Escalation,Full dialogue,-0.09847763081076176,-0.20071319756334577,0.0032592441393241877,37,multi_label,-0.11655152707460602,-0.19101783005978612,-0.041329634167087584,59,-0.018073896263844258
primary,Horror,Climax zone,Full dialogue,-0.17108634179437598,-0.28208319484607863,-0.0679512807333696,35,multi_label,-0.1713019560491932,-0.24975920866679852,-0.09479234504366288,57,-0.00021561425481722574
primary,Horror,Resolution,Full dialogue,-0.2951163852742699,-0.43549181352426064,-0.1592874738913153,39,multi_label,-0.21892537263999912,-0.3204829649586348,-0.10534868104741184,62,0.0761910126342708
primary,Music,Opening,Full dialogue,0.233075,,,1,multi_label,0.0028738827838827806,-0.24065220398351647,0.17406953273809495,10,-0.23020111721611722
primary,Music,Inciting conflict,Full dialogue,0.51088,,,1,multi_label,0.1648660238095238,-0.15291366071428572,0.4258298934523807,10,-0.3460139761904762
primary,Music,Escalation,Full dialogue,0.3955875,,,1,multi_label,0.36411485925893616,0.183024606979936,0.5210172566267729,10,-0.03147264074106382
primary,Music,Climax zone,Full dialogue,0.2704892857142857,,,1,multi_label,0.1365815878962991,-0.16597277293513954,0.42780849311900027,10,-0.13390769781798662
primary,Music,Resolution,Full dialogue,0.3180090909090909,,,1,multi_label,0.34689156221303946,0.05381871926652893,0.5990736099919651,11,0.028882471303948554
primary,Mystery,Opening,Full dialogue,0.23634629487179487,-0.07923297435897438,0.48184814102564105,5,multi_label,0.10067898106308214,0.0003925115041413431,0.19888921519557137,53,-0.13566731380871272
primary,Mystery,Inciting conflict,Full dialogue,0.19606891025641024,-0.11380906593406594,0.5454221726190477,6,multi_label,0.030866386496822613,-0.060656408444980985,0.11471470739833639,54,-0.16520252375958763
primary,Mystery,Escalation,Full dialogue,0.06802365708165244,-0.08536561802232855,0.20768929274165793,6,multi_label,-0.062130735405902734,-0.14068711610886594,0.007645346221208439,55,-0.13015439248755517
primary,Mystery,Climax zone,Full dialogue,0.12387391172595519,-0.2425814398550725,0.5351541912714095,6,multi_label,-0.07942358027873411,-0.16741063634555348,0.015336653200618226,54,-0.2032974920046893
primary,Mystery,Resolution,Full dialogue,0.3183932600732601,0.05306761904761905,0.5745776904761902,6,multi_label,-0.03442364286761223,-0.14309897373445177,0.0725620857058449,57,-0.3528169029408723
primary,Romance,Opening,Full dialogue,0.4182283049299185,0.30865749100899104,0.5271722229043683,11,multi_label,0.3084964510884463,0.2478053134883656,0.3677814950746596,89,-0.10973185384147222
primary,Romance,Inciting conflict,Full dialogue,0.37016761984821483,0.22740675391520246,0.498234905926868,11,multi_label,0.32623124259037395,0.26637530882363974,0.3846934957726968,90,-0.043936377257840886
primary,Romance,Escalation,Full dialogue,0.31668870786876413,0.17399659166581008,0.4394141647013942,11,multi_label,0.29187767222064925,0.23352798236794187,0.3490156033011186,91,-0.024811035648114876
primary,Romance,Climax zone,Full dialogue,0.14857909677529466,-0.010640952972709302,0.30707298343995487,11,multi_label,0.254261433785497,0.19769119836389348,0.31173954718390234,90,0.10568233701020233
primary,Romance,Resolution,Full dialogue,0.2553160476392295,0.12137487780338349,0.3786749355398388,11,multi_label,0.3310306783147131,0.25751328808803287,0.40742360208105627,97,0.07571463067548362
